,Adset_Name,date,day_clicks,day_reach,day_spend,day_impression,IT_Aud_ID1_up_bound,IT_Aud_ID2_up_bound,IT_Aud_ID3_up_bound,CPM,Campaign_Daily_Budget,sum_of_IT_Aud_Size
124,AI_DB_20220827_Customerservice_Homebusiness_Cartuning,2022-08-30,31.0,1938.0,875.0,2090.0,63303827,105553380,51217967,418.66028708133973,3400,220075174
716,金融保險房車_0808,2022-08-14,121.0,6782.0,3041.0,8153.0,115342387,492194130,169568320,372.9915368575985,3400,777104837
558,AI_20220813_Toyotacars_Fox_Ford,2022-08-16,70.0,4073.0,1207.0,4637.0,154409640,284874330,150086350,260.29760621091225,3400,589370320
121,AI_DB_20220827_Customerservice_Homebusiness_Cartuning,2022-08-27,38.0,2229.0,980.0,2503.0,63303827,105553380,51217967,391.53016380343587,3400,220075174
92,AI_20220828_stadium_science_GaleSportsAssociation,2022-08-30,13.0,712.0,463.0,849.0,21362740,705993360,1551710,545.3474676089517,3400,728907810
93,AI_20220828_stadium_science_GaleSportsAssociation,2022-08-31,67.0,3542.0,1540.0,4331.0,21362740,705993360,1551710,355.57607942738395,3400,728907810
649,AI_NLP_20220810_advertise_data_Marketing,2022-08-11,7.0,412.0,154.0,425.0,712060990,150206230,547950040,362.3529411764706,3400,1410217260
533,AI_DB_20220814_Searchandrescue_LegoMindstorms_Mandopop,2022-08-23,3.0,159.0,74.0,171.0,678380,12560770,19688710,432.74853801169587,3400,32927860
91,AI_20220828_stadium_science_GaleSportsAssociation,2022-08-29,10.0,526.0,272.0,569.0,21362740,705993360,1551710,478.03163444639716,3400,728907810
310,AI_NLP_20220821_market_compete_database,2022-08-24,20.0,1044.0,536.0,1111.0,28024340,232982280,214515660,482.44824482448246,3400,475522280
494,AI_20220815_electriccar_Kia_AutomotiveDesign,2022-08-16,4.0,206.0,61.0,219.0,106781360,98117820,92179040,278.53881278538813,3400,297078220
29,AI_DB_20220831_Washingmachine_Waste_Probiotic,2022-08-31,3.0,151.0,49.0,157.0,35030670,38333490,112428890,312.10191082802544,3400,185793050
246,AI_20220823_SudaMotor_Dodge_Richcar,2022-08-24,18.0,737.0,270.0,929.0,31301400,34880030,30735900,290.6350914962325,3400,96917330
308,AI_NLP_20220821_market_compete_database,2022-08-22,1.0,43.0,6.0,51.0,28024340,232982280,214515660,117.6470588235294,3400,475522280
678,購物時尚_0808,2022-08-08,5.0,227.0,159.0,233.0,1122219840,674294881,486104143,682.4034334763949,3400,2282618864
745,居家生活_0808,2022-08-11,4.0,183.0,50.0,185.0,574430420,614046470,394840382,270.27027027027026,3400,1583317272
712,金融保險房車_0808,2022-08-10,5.0,153.0,55.0,160.0,115342387,492194130,169568320,343.75,3400,777104837
