adsetID_date,Campaign_ID,Adset_ID,Adset_Name,IT_ID1,IT_ID2,IT_ID3,date,day_ctr,day_clicks,day_reach,day_spend,day_actions,day_impression,IT_Aud_ID1_up_bound,IT_Aud_ID2_up_bound,IT_Aud_ID3_up_bound
56,23852120288290227_2022-08-26,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
57,23852120288290227_2022-08-27,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
58,23852120288290227_2022-08-28,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
59,23852120288290227_2022-08-29,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
60,23852120288290227_2022-08-30,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,2022-08-30,1.380846,31,1939,855,1,2245,6632250,152342109,317154630
61,23852120288290227_2022-08-31,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,2022-08-31,0.447928,16,3154,1086,1,3572,6632250,152342109,317154630
62,23852120288290227_2022-09-01,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,2022-09-01,1.025184,46,3907,1098,17,4487,6632250,152342109,317154630
63,23852120288290227_2022-09-02,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,2022-09-02,1.026786,46,3813,1234,5,4480,6632250,152342109,317154630
64,23852099667960227_2022-08-02,23851882559020227,23852099667960227,AI_20220828_stadium_science_GaleSportsAssociation,6002839936079,6002866718622,6002868301822,,,,,,,,21362740,705993360,1551710
65,23852099667960227_2022-08-03,23851882559020227,23852099667960227,AI_20220828_stadium_science_GaleSportsAssociation,6002839936079,6002866718622,6002868301822,,,,,,,,21362740,705993360,1551710
